Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Cristais Paulista;Região Administrativa de Franca;Franca;434;7.588;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Portaria;2416;01/08/2016;;;;;;;;;"Portaria 2.416, de 01/08/2016 ""Designa Comissão de Avaliação de Documentos"". A portaria 2.384, de 14/01/2016 designou Servidor responsável para a criação do Arquivo Público Municipal.";Sim;Não;Não;Sim;Sim;Sim;Decreto;2427;01/08/2016;Regulamenta no âmbito municipal, a Lei de Acesso à Informação – Lei Federal nº 12.527, de 18 de novembro de 2011, e dá outras providências.;Sim;Autoridade hierarquicamente superior à autoridade que exarou a decisão impugnada.;Controladoria Geral do Município;Comissão de Reavaliação de Informações;Secretário Municipal da Pasta;Sim;Sim;Sim;Não determinada: órgãos públicos integrantes da administração direta do Poder Executivo do Município de Cristais Paulista.;4,9;332;7,8;111;SUBIU
Cruzália;Região Administrativa de Marília;Assis;481;2.274;Pequeno 1;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,5;127;4,3;484;CAIU
Cruzeiro;Região Administrativa de São José dos Campos;Cruzeiro;220;77.039;Médio;Sim;Lei;3858;23/12/2008;Possui Arquivo Publico;Arquivo Municipal;Secretaria de Administração;Rua Engenheiro Antonio Penido, 840;Centro;12700-000;(12) 9797-3835;niltaribeiro@ig.com.br;;Lei;3858;23/12/2008;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;1,9;586;4,1;500;SUBIU
Cubatão;Região Administrativa de Santos;Santos;68;118.720;Grande;Sim;Lei;100;09/05/1952;Arquivo Histórico;Arquivo Histórico Municipal;Secretaria da Administração;Rua Embaixador Pedro Toledo, 611;Centro;11510-090;(13) 3375-2401;;;Lei;100;09/05/1952;Arquivo Histórico;;;;;;;;;;;;;;Lei;3125;20/11/2006;Política Municipal de Arquivos;;;Lei;3125;20/11/2006;Política Municipal de Arquivos;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;1,6;602;2,8;571;SUBIU
Cunha;Região Administrativa de São José dos Campos;Guaratinguetá;225;21.866;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,5;127;5,5;371;CAIU
Descalvado;Região Administrativa Central;São Carlos;261;31.056;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,3;398;2,7;576;CAIU
Diadema;Região Administrativa de São Paulo;São Paulo;19;386.089;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Decreto;6274;27/03/2008;;;Sim;;;;;Meio e Fim;Anexo ao Decreto 6.274, de 27/03/2008. O mesmo Decreto cria a CADOC (Comissão de Avaliação) e publica a Tabela de Temporalidade.;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,6;252;6,2;298;SUBIU
Dirce Reis;Região Administrativa de São José do Rio Preto;Jales;623;1.689;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;5,3;291;1,6;605;CAIU
Divinolândia;Região Administrativa de Campinas;São João da Boa Vista;269;11.208;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,5;607;6,3;283;SUBIU
Dobrada;Região Administrativa Central;Araraquara;333;7.939;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,2;504;5,3;399;SUBIU
Dois Córregos;Região Administrativa de Bauru;Jaú;262;24.761;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;4005;27/08/2014;Regulamenta LAI;Sim;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não há;Sim;Sim;Sim;Edifício do Paço Municipal, sede da Prefeitura.;5,3;291;7,3;160;SUBIU
Dolcinópolis;Região Administrativa de São José do Rio Preto;Jales;615;2.096;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,4;36;6,9;217;CAIU
Dourado;Região Administrativa Central;São Carlos;291;8.609;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,1;309;1,6;605;CAIU
Dracena;Região Administrativa de Presidente Prudente;Dracena;632;43.258;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;1,1;617;9;35;SUBIU
Duartina;Região Administrativa de Bauru;Bauru;363;12.251;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,5;630;5,5;371;SUBIU
Dumont;Região Administrativa de Ribeirão Preto;Ribeirão Preto;354;8.143;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;1888;14/01/2014;Lei de Acesso regulamentada;Sim;Núcleo de Transparência e Acesso à Informação;Não há;Não há;Não há;Sim;Não;Sim;Não determinada (recebe e protocoliza os pedidos).;3,7;468;0,7;626;CAIU
Echaporã;Região Administrativa de Marília;Marília;464;6.318;Pequeno 1;Sim;Lei;1458;07/06/2006;Cria Arquivo Municipal;Arquivo Municipal;Gabinete da Prefeitura;Praça Riodante Fontana, 10;Centro;19830-000;(18) 3356-1414;marcinhadalulica@hotmail.com;;Lei;1458;07/06/2006;Cria Arquivo Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;1812;16/10/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Praça Riodante Fontana, nº 10: vinculado ao Departamento de Administração e Finanças (recebe e processa os pedidos).;5,7;239;8;95;SUBIU
Eldorado;Região Administrativa de Registro;Registro;247;14.641;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,6;477;3,8;527;SUBIU
Elias Fausto;Região Administrativa de Campinas;Piracicaba;126;15.775;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,5;127;3,6;541;CAIU
Elisiário;Região Administrativa de São José do Rio Preto;Catanduva;412;3.120;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,6;626;6,9;217;SUBIU
Embaúba;Região Administrativa de Barretos;Barretos;432;2.423;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3;515;5,8;344;SUBIU
Embu das Artes;Região Administrativa de São Paulo;São Paulo;28;240.230;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;418;16/05/2012;Regulamenta LAI;Sim;Secretaria Municipal de Governo;Não há;Não há;Não há;Não;Não;Sim;"Praça de Atendimento, sob a gerência da Controladoria Geral do Município. Não há propriamente o SIC, mas a possibilidade de pedido nas ""Praças de Atendimento"". ";4,5;375;4,7;455;SUBIU
Embu-Guaçu;Região Administrativa de São Paulo;São Paulo;48;62.769;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,4;389;8,7;45;SUBIU
Emilianópolis;Região Administrativa de Presidente Prudente;Presidente Prudente;603;3.020;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;1,7;597;3,1;562;SUBIU
Engenheiro Coelho;Região Administrativa de Campinas;Campinas;160;15.721;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Sim;Lei;1000;16/09/2015;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Paço Municipal: Rua Domingos Franco de Oliveira, nº 1645.;2,6;551;6,2;298;SUBIU
Espírito Santo do Pinhal;Região Administrativa de Campinas;São João da Boa Vista;192;41.907;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;0,9;623;5,3;399;SUBIU
Espírito Santo do Turvo;Região Administrativa de Marília;Ourinhos;320;4.244;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,4;389;9,3;18;SUBIU
Estiva Gerbi;Região Administrativa de Campinas;Campinas;170;10.044;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,3;569;2,4;587;SUBIU
Estrela d'Oeste;Região Administrativa de São José do Rio Preto;Fernandópolis;600;8.208;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,8;221;5,2;411;CAIU
Estrela do Norte;Região Administrativa de Presidente Prudente;Presidente Prudente;584;2.658;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,8;534;3,3;553;SUBIU
Euclides da Cunha Paulista;Região Administrativa de Presidente Prudente;Presidente Prudente;708;9.585;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,9;586;0,4;632;CAIU
Fartura;Região Administrativa de Itapeva;Itapeva;353;15.320;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,2;53;9,8;9;SUBIU
Fernando Prestes;Região Administrativa Central;Araraquara;375;5.534;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;2559;04/12/2014;Lei de Acesso regulamentada;Sim;Autoridade imediatamente superior ao agente público que exarou a decisão impugnada.;Não há;Não há;Não há;Sim;Sim;Sim;Não determinada.;4,4;389;4,7;455;SUBIU
Fernandópolis;Região Administrativa de São José do Rio Preto;Fernandópolis;567;64.696;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,4;36;8;95;SUBIU
Fernão;Região Administrativa de Marília;Marília;385;1.563;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,9;524;6,7;244;SUBIU
Ferraz de Vasconcelos;Região Administrativa de São Paulo;São Paulo;52;168.306;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;4;433;3,6;541;CAIU
Flora Rica;Região Administrativa de Presidente Prudente;Adamantina;619;1.752;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,5;558;5,8;344;SUBIU
Floreal;Região Administrativa de São José do Rio Preto;Votuporanga;536;3.003;Pequeno 1;Sim;Lei;1269;16/12/2009;Possui Arquivo Publico;Arquivo Público Municipal;Gabinete do Prefeito;;;;;;;Lei;1269;16/12/2009;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,1;420;8,4;67;SUBIU
Florínia;Região Administrativa de Marília;Assis;477;2.829;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,1;617;1,6;605;SUBIU
Flórida Paulista;Região Administrativa de Presidente Prudente;Adamantina;592;12.848;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,4;489;5,3;399;SUBIU
Franca;Região Administrativa de Franca;Franca;416;318.640;Grande;Sim;Lei;6966;29/11/2007;Cria Arquivo Geral;Arquivo Geral de Franca;Secretaria Municipal de Administração e Recursos Humanos;Avenida Champagnat, 1808;Colégio Champagnat;14400-320;(16) 3711-9207/9215;arquivohistorico@franca.sp.gov.br;;Lei;6966;29/11/2007;Cria Arquivo Geral;;;;;;;;;;;;;Sim;Portaria;160;23/07/2010;;;Sim;;;;;Meio e Fim;Portaria 160, de 23/07/2010, Constitui e nomeia Comissão Municipal para atuar na classificação e separação de documentos e processos administrativos de acordo com a Tabela de Temporalidade e providenciar a eliminação devida, e dá outras providências. O Decreto 9.222, de 26 de janeiro de 2009: Dispõe sobre a instituição e oficialização dos Planos de Classificação e Tabelas de Temporalidade de Documentos da Administração Pública do Município de Franca e dá outras providências. Há relatos de eliminação de documentos, como o Edital 01, de 25/03/2011.;Sim;Não;Não;Não;Sim;Sim;Decreto;10244;28/10/2014;Regulamenta a LAI;Sim;Secretário de Recursos Humanos (eventualmente poderá solicitar parecer da Procuradoria Geral do Município).;Prefeito Municipal;Não há;Não há;Sim;Sim;Sim;Vinculado à Central de Atendimento (recebe e protocoliza os pedidos).;8,3;9;8,3;72;IGUAL
Francisco Morato;Região Administrativa de São Paulo;São Paulo;48;154.472;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;4;03/02/2014;Regulamenta LAI;Sim;Secretaria Municipal de Negócios Jurídicos;Não há;Não há;Não há;Não;Não;Sim;Setor de Protocolo;2,1;576;4,7;455;SUBIU
Franco da Rocha;Região Administrativa de São Paulo;São Paulo;45;131.604;Grande;Sim;Lei;594;05/10/1993;Cria Fundação Cultural;Fundação Municipal Cultural Estação Juqueri;;;;;;;;Lei;594;05/10/1993;Cria Fundação Cultural;;;;;;;;;;;;;;;;;;;;;;;;;"A Lei Complementar 209, de 11/01/2013 prevê na Estrutura Administrativa da Secretaria de Gestão Pública uma Coordenadoria de Protocolo Central e Arquivo Público (Art. 13, II, ""a"", 3), regulamentada pelo Decreto 2292, de 20/02/2015; entre as atribuições da Coordenadoria de Protocolo e Arquivo, está ""arquivar ou descartar"" documentos (ver Art. 19, VII, e Art. 20, item 4).";Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;1,2;615;1,2;616;IGUAL
Gabriel Monteiro;Região Administrativa de Araçatuba;Araçatuba;531;2.708;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,2;635;3,1;562;SUBIU
Gália;Região Administrativa de Marília;Marília;392;7.011;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,8;592;7,1;186;SUBIU
Garça;Região Administrativa de Marília;Marília;401;43.115;Pequeno 2;Sim;Decreto;8324;30/12/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;8324;30/12/2015;;Sim;O Secretário Municipal ou o Diretor Executivo ou o Diretor Superintendente do Ente da administração indireta que exarou a decisão impugnada.;Comissão de Avaliação e Monitoramento do Acesso à Informação;Não há;Não há;Não;Não;Sim;Paço Municipal. De acordo com o Art.11: No âmbito da administração pública municipal direta e indireta será utilizada a estrutura do Setor de Protocolo para o recebimento das solicitações de informação (registra as solicitações e as encaminha para os responsáveis das respectivas unidades).;5,5;265;7,9;103;SUBIU
Gastão Vidigal;Região Administrativa de Araçatuba;Araçatuba;553;4.193;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,8;534;4,2;489;SUBIU
Gavião Peixoto;Região Administrativa Central;Araraquara;320;4.419;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,9;76;7,6;129;SUBIU
General Salgado;Região Administrativa de Araçatuba;Araçatuba;556;10.669;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,7;239;4,4;477;CAIU
Getulina;Região Administrativa de Bauru;Lins;456;10.765;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;3,4;489;7,4;149;SUBIU
Glicério;Região Administrativa de Araçatuba;Araçatuba;491;4.565;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1429;13/12/2013;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Não há própriamente o SIC, mas o Protocolo dos Órgãos Públicos e Entidades Municipais que recebem e protocolizam os requerimentos.;3;515;2,6;580;CAIU
Guaiçara;Região Administrativa de Bauru;Lins;438;10.670;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2444;21/08/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Paço Municipal: Rua Tiradentes, nº 171.;5,9;206;7,6;129;SUBIU
Guaimbê;Região Administrativa de Bauru;Lins;457;5.425;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;6,6;115;6,4;273;CAIU
Guaíra;Região Administrativa de Barretos;Barretos;463;37.404;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3,7;468;7,6;129;SUBIU
Guapiaçu;Região Administrativa de São José do Rio Preto;São José do Rio Preto;457;17.869;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,5;30;4,7;455;CAIU
Guapiara;Região Administrativa de Itapeva;Itapeva;263;17.998;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4;433;4,2;489;SUBIU
Guará;Região Administrativa de Franca;Franca;415;19.858;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,2;166;7,9;103;SUBIU
Guaraçaí;Região Administrativa de Araçatuba;Andradina;605;8.435;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,1;510;4,1;500;SUBIU
Guaraci;Região Administrativa de Barretos;Barretos;478;9.976;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;3,9;454;3,9;515;IGUAL
Guarani d'Oeste;Região Administrativa de São José do Rio Preto;Fernandópolis;595;1.970;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,4;141;7,1;186;SUBIU
Guarantã;Região Administrativa de Bauru;Lins;403;6.404;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,6;252;0,7;626;CAIU
Guararapes;Região Administrativa de Araçatuba;Araçatuba;541;30.597;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,5;607;7,5;141;SUBIU
Guararema;Região Administrativa de São Paulo;São Paulo;81;25.844;Pequeno 2;Sim;Lei;2620;11/09/2009;Política de Arquivos;Setor de Arquivo e Protocolo;Secretaria de Administração e Finanças;;;;;;;Lei;2620;11/09/2009;Política de Arquivos;;;;;;;;;;;;;Não;;;;;;Não;;;;;;"A Lei 2620, de 11/09/2009 institui Política Municipal de Arquivos. Os Art. 4º e 5º preveem eliminação ou guarda permanente. A Política Municipal prevê a avaliação dos documento e Tabelas de Temporalidade, sem especificar se haverá Comissão de Avaliação, ou como atuará; um modelo de Tabela de Temporalidade disponível não pode ser considerado propriamente uma TTD (Ver Anexo da Lei 2620/09, itens 5 e 6).";Sim;Não;Não;Não;;Sim;Lei;2861;09/05/2012;Regulamenta LAI;Sim;Prefeito Municipal;Não há;Não há;Não há;Não;Sim;Sim;Setor de Arquivo e Protocolo do Paço Municipal e sedes das Secretarias Municipais (recebe e protocoliza os pedidos).;4;433;6,7;244;SUBIU
Guaratinguetá;Região Administrativa de São José dos Campos;Guaratinguetá;175;112.072;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;7832;26/03/2014;Lei de Acesso regulamentada;Sim;Autoridade hierarquicamente superior à que adotou a decisão.;Autoridade máxima do órgão ou entidade.;Não há;Não há;Sim;Sim;Sim;Não determinada: órgãos e entidades deverão criar o Serviço de Informações ao Cidadão - SIC  (autua e protocoliza o pedido).;6,8;87;3,6;541;CAIU
Guareí;Região Administrativa de Sorocaba;Itapetininga;177;14.565;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4;433;1,2;616;CAIU
Guariba;Região Administrativa de Ribeirão Preto;Ribeirão Preto;353;35.486;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,8;338;8,3;72;SUBIU
